NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:13:25",
CHAN,MEAS,FORMAT
3,S12,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,dB,
50000000,-48.228,
52375000,-48.203,
54750000,-53.793,
57125000,-49.91,
59500000,-49.882,
61875000,-49.166,
64250000,-49.166,
66625000,-49.632,
69000000,-50.312,
71375000,-51.152,
73750000,-54.198,
76125000,-53.658,
78500000,-46.757,
80875000,-51.245,
83250000,-51.611,
85625000,-50.795,
88000000,-49.254,
90375000,-47.988,
92750000,-46.963,
95125000,-46.242,
97500000,-45.469,
99875000,-41.861,
102250000,-36.921,
104625000,-27.294,
107000000,-33.352,
109375000,-34.987,
111750000,-28.58,
114125000,-26.86,
116500000,-29.881,
118875000,-31.496,
121250000,-25.216,
123625000,-26.032,
126000000,-28.593,
128375000,-26.552,
130750000,-25.631,
133125000,-26.047,
135500000,-27.681,
137875000,-29.729,
140250000,-30.201,
142625000,-32.59,
145000000,-28.055,
147375000,-26.51,
149750000,-27.353,
152125000,-28.672,
154500000,-29.534,
156875000,-30.534,
159250000,-36.405,
161625000,-37.658,
164000000,-36.976,
166375000,-36.587,
168750000,-36.586,
171125000,-36.406,
173500000,-34.099,
175875000,-27.974,
178250000,-27.73,
180625000,-29.189,
183000000,-30.396,
185375000,-32.034,
187750000,-36.571,
190125000,-37.339,
192500000,-34.358,
194875000,-32.303,
197250000,-30.593,
199625000,-31.072,
202000000,-31.809,
204375000,-32.706,
206750000,-34.096,
209125000,-37.067,
211500000,-41.016,
213875000,-47.776,
216250000,-48.764,
218625000,-41.237,
221000000,-35.628,
223375000,-33.204,
225750000,-34.216,
228125000,-36.279,
230500000,-38.483,
232875000,-38.31,
235250000,-37.958,
237625000,-36.719,
240000000,-35.81,
242375000,-37.124,
244750000,-39.824,
247125000,-43.44,
249500000,-45.033,
251875000,-44.799,
254250000,-43.665,
256625000,-42.136,
259000000,-40.845,
261375000,-42.174,
263750000,-47.852,
266125000,-45.029,
268500000,-43.159,
270875000,-43.522,
273250000,-44.633,
275625000,-46.872,
278000000,-51.045,
280375000,-49.981,
282750000,-43.209,
285125000,-37.378,
287500000,-33.073,
289875000,-31.765,
292250000,-31.53,
294625000,-32.293,
297000000,-33.528,
299375000,-35.179,
301750000,-37.36,
304125000,-38.792,
306500000,-36.077,
308875000,-31.757,
311250000,-29.26,
313625000,-30.158,
316000000,-32.468,
318375000,-34.128,
320750000,-34.823,
323125000,-35.066,
325500000,-35.866,
327875000,-37.742,
330250000,-39.644,
332625000,-37.682,
335000000,-35.389,
337375000,-38.588,
339750000,-42.836,
342125000,-43.108,
344500000,-41.446,
346875000,-40.322,
349250000,-39.226,
351625000,-38.169,
354000000,-38.316,
356375000,-38.63,
358750000,-38.938,
361125000,-40.13,
363500000,-39.612,
365875000,-39.002,
368250000,-38.803,
370625000,-38.588,
373000000,-38.321,
375375000,-37.966,
377750000,-37.631,
380125000,-37.291,
382500000,-36.698,
384875000,-37.003,
387250000,-36.846,
389625000,-36.59,
392000000,-36.966,
394375000,-37.208,
396750000,-37.287,
399125000,-36.984,
401500000,-36.312,
403875000,-35.911,
406250000,-35.707,
408625000,-36.127,
411000000,-36.723,
413375000,-36.337,
415750000,-36.084,
418125000,-35.955,
420500000,-35.503,
422875000,-35.377,
425250000,-35.247,
427625000,-35.167,
430000000,-35.665,
432375000,-36.046,
434750000,-35.94,
437125000,-35.794,
439500000,-35.349,
441875000,-35.161,
444250000,-34.992,
446625000,-34.797,
449000000,-34.996,
451375000,-35.065,
453750000,-35.139,
456125000,-35.2,
458500000,-34.812,
460875000,-34.697,
463250000,-34.734,
465625000,-34.567,
468000000,-34.86,
470375000,-34.909,
