NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:17:14",
CHAN,MEAS,FORMAT
3,S12,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 3.8906E-3,-1.5518E-1
52375000, 3.9232E-3,-6.4929E+0
54750000, 2.1119E-3, 4.9768E+0
57125000, 3.1695E-3,-2.3703E+0
59500000, 3.2064E-3,-3.7985E+0
61875000, 3.4869E-3,-5.1828E+0
64250000, 3.5168E-3,-1.2601E+1
66625000, 3.2805E-3,-1.9477E+1
69000000, 3.0565E-3,-2.5321E+1
71375000, 2.8004E-3,-3.5906E+1
73750000, 1.9607E-3,-4.8319E+1
76125000, 2.0878E-3,-6.1863E+1
78500000, 4.9126E-3, 1.4421E+2
80875000, 2.7274E-3, 5.6224E+1
83250000, 2.6005E-3, 4.8716E+1
85625000, 2.8959E-3, 4.9923E+1
88000000, 3.4355E-3, 4.9513E+1
90375000, 3.9983E-3, 4.6686E+1
92750000, 4.4376E-3, 4.3778E+1
95125000, 4.7184E-3, 4.3816E+1
97500000, 5.2918E-3, 5.355E+1
99875000, 8.1365E-3, 6.2996E+1
102250000, 1.4943E-2, 6.4414E+1
104625000, 4.2234E-2, 6.9818E+0
107000000, 2.1483E-2,-4.3146E+1
109375000, 1.854E-2,-2.814E+1
111750000, 3.7592E-2,-4.9425E+1
114125000, 4.6143E-2,-1.1131E+2
116500000, 3.3194E-2,-1.572E+2
118875000, 2.7735E-2, 1.7995E+2
121250000, 5.3087E-2, 1.3628E+2
123625000, 5.3447E-2, 4.4802E+1
126000000, 3.7626E-2,-3.4401E+1
128375000, 4.6719E-2,-1.1131E+2
130750000, 5.6497E-2, 1.6943E+2
133125000, 5.1668E-2, 1.1112E+2
135500000, 4.22E-2, 6.6989E+1
137875000, 3.2831E-2, 4.6241E+1
140250000, 3.0527E-2, 3.1104E+1
142625000, 2.3411E-2, 1.8068E+1
145000000, 3.9827E-2, 3.2629E+1
147375000, 4.8387E-2,-6.5932E+0
149750000, 4.4215E-2,-3.7864E+1
152125000, 3.7703E-2,-6.4972E+1
154500000, 3.3821E-2,-9.6216E+1
156875000, 2.7677E-2,-1.6196E+2
159250000, 1.5214E-2, 9.923E+1
161625000, 1.3133E-2, 4.052E+1
164000000, 1.3671E-2, 1.3226E+1
166375000, 1.4468E-2, 1.0876E+0
168750000, 1.5423E-2,-7.0573E+0
171125000, 1.6097E-2,-9.0115E+0
173500000, 2.0772E-2,-1.8018E+0
175875000, 3.8419E-2,-2.2497E+1
178250000, 4.0938E-2,-6.44E+1
180625000, 3.2815E-2,-9.43E+1
183000000, 2.7911E-2,-1.1705E+2
185375000, 2.1766E-2,-1.5966E+2
187750000, 1.22E-2, 1.3632E+2
190125000, 1.1507E-2, 5.7849E+1
192500000, 1.6652E-2, 1.0116E+1
194875000, 2.2759E-2,-1.6989E+1
197250000, 2.863E-2,-4.6193E+1
199625000, 2.7478E-2,-7.4262E+1
202000000, 2.5818E-2,-9.1397E+1
204375000, 2.4179E-2,-1.12E+2
206750000, 2.0374E-2,-1.3752E+2
209125000, 1.3874E-2,-1.5996E+2
211500000, 8.3993E-3, 1.7706E+2
213875000, 3.6993E-3, 1.5781E+2
216250000, 3.9084E-3, 1.18E+2
218625000, 9.3119E-3, 5.1113E+1
221000000, 1.7737E-2, 2.7109E+0
223375000, 2.2125E-2,-4.0818E+1
225750000, 1.9321E-2,-7.1245E+1
228125000, 1.5457E-2,-8.8226E+1
230500000, 1.2061E-2,-8.7858E+1
232875000, 1.2063E-2,-8.5813E+1
235250000, 1.2608E-2,-8.6223E+1
237625000, 1.4617E-2,-8.9382E+1
240000000, 1.6044E-2,-1.069E+2
