NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:23:09",
CHAN,MEAS,FORMAT
3,S12,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,deg,
50000000,-1.6891E-1,
52375000,-3.9647E+0,
54750000,-6.7593E+0,
57125000,-1.2892E+1,
59500000, 1.2675E+0,
61875000,-6.8143E+0,
64250000,-1.9311E+1,
66625000,-2.7003E+1,
69000000,-4.2236E+1,
71375000, 2.1278E+1,
73750000,-1.4805E+1,
76125000,-3.7362E+1,
78500000, 1.0793E+2,
80875000, 3.4242E+1,
83250000, 3.4011E+1,
85625000, 3.9214E+1,
88000000, 4.409E+1,
90375000, 5.7515E+1,
92750000, 1.2402E+2,
95125000, 1.0436E+2,
97500000, 3.8809E+1,
99875000, 3.4633E+1,
102250000, 9.0747E+0,
104625000,-3.4221E+1,
107000000,-7.8293E+1,
109375000,-1.2901E+1,
111750000,-2.0105E+1,
114125000,-1.0363E+2,
116500000,-7.4171E+0,
118875000,-1.6014E+2,
121250000, 1.4153E+2,
123625000, 9.1734E+1,
126000000, 9.3068E+1,
128375000, 1.2763E+2,
130750000, 1.0997E+2,
133125000, 6.8533E+1,
135500000, 4.3835E+0,
137875000,-1.3447E+2,
140250000, 9.0128E+1,
142625000, 4.0339E+1,
145000000, 1.3799E+1,
147375000,-1.0934E+1,
149750000,-3.8574E+1,
152125000,-6.3769E+1,
154500000,-8.6778E+1,
156875000,-1.1415E+2,
159250000,-1.5621E+2,
161625000, 1.1672E+2,
164000000, 3.1899E+1,
166375000,-6.2856E+0,
168750000,-3.3168E+1,
171125000,-5.3247E+1,
173500000,-6.3748E+1,
175875000,-6.8308E+1,
178250000,-4.7307E+1,
180625000,-9.3404E+1,
183000000,-1.418E+2,
185375000,-7.41E+1,
187750000,-2.6076E+1,
190125000,-5.6401E+0,
192500000,-3.0046E+1,
194875000,-6.0226E+1,
197250000,-8.2327E+1,
199625000,-9.6034E+1,
202000000,-8.0896E+1,
204375000,-8.6539E+1,
206750000,-1.3713E+2,
209125000,-1.666E+2,
211500000, 1.7459E+2,
213875000, 4.2458E+1,
216250000,-2.6487E+1,
218625000,-3.9677E+1,
221000000,-3.9229E+1,
223375000,-6.5076E+1,
225750000,-7.6609E+1,
228125000,-6.651E+1,
230500000,-6.5413E+1,
232875000,-7.9487E+1,
235250000,-8.2132E+1,
237625000,-8.8336E+1,
240000000,-1.0326E+2,
242375000,-1.1854E+2,
244750000,-1.3079E+2,
247125000,-1.2877E+2,
249500000,-1.2394E+2,
251875000,-1.1138E+2,
254250000,-1.0113E+2,
256625000,-9.8097E+1,
259000000,-1.03E+2,
261375000,-1.0413E+2,
263750000,-1.0363E+2,
266125000,-1.0686E+2,
268500000,-1.1176E+2,
270875000,-1.2577E+2,
273250000,-1.4113E+2,
275625000,-1.8276E+1,
278000000,-2.6439E+1,
280375000,-4.4523E+1,
282750000,-5.4757E+1,
285125000,-6.441E+1,
287500000,-7.3953E+1,
289875000,-7.8429E+1,
292250000,-7.3992E+1,
294625000,-8.946E+1,
297000000,-1.0938E+2,
299375000,-1.1611E+2,
301750000,-8.6006E+1,
304125000,-9.7657E+1,
306500000,-1.2318E+2,
308875000,-1.3211E+2,
311250000,-1.3786E+2,
313625000,-1.4004E+2,
316000000,-1.3324E+2,
318375000,-1.264E+2,
320750000,-1.4059E+2,
323125000,-1.6465E+2,
325500000,-1.7986E+2,
327875000, 1.7202E+2,
330250000, 1.6715E+2,
332625000, 1.7033E+2,
335000000,-1.6114E+2,
337375000,-1.3248E+2,
339750000,-1.3218E+2,
342125000,-1.437E+2,
344500000,-1.7365E+2,
346875000, 1.7334E+2,
349250000,-1.7108E+2,
351625000,-1.5382E+2,
