NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","09:56:02",
CHAN,MEAS,FORMAT
2,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,dB,
50000000,-48.255,
52375000,-48.459,
54750000,-48.642,
57125000,-53.976,
59500000,-49.985,
61875000,-48.964,
64250000,-48.94,
66625000,-49.694,
69000000,-50.487,
71375000,-55.611,
73750000,-52.805,
76125000,-53.368,
78500000,-49.929,
80875000,-51.606,
83250000,-51.99,
85625000,-51.279,
88000000,-50.151,
90375000,-49.581,
92750000,-49.907,
95125000,-50.273,
97500000,-38.563,
99875000,-31.688,
102250000,-33.464,
104625000,-32.896,
107000000,-33.734,
109375000,-33.863,
111750000,-29.747,
114125000,-29.098,
116500000,-34.821,
118875000,-37.147,
121250000,-37.3,
123625000,-41.735,
126000000,-34.117,
128375000,-27.752,
130750000,-26.836,
133125000,-26.031,
135500000,-27.226,
137875000,-31.793,
140250000,-37.649,
142625000,-25.969,
145000000,-26.922,
147375000,-27.384,
149750000,-27.573,
152125000,-28.306,
154500000,-29.409,
156875000,-30.575,
159250000,-30.772,
161625000,-27.742,
164000000,-27.563,
166375000,-29.625,
168750000,-30.609,
171125000,-31.636,
173500000,-32.226,
175875000,-32,
178250000,-30.113,
180625000,-28.17,
183000000,-30.569,
185375000,-34.04,
187750000,-43.138,
190125000,-44.483,
192500000,-39.877,
194875000,-35.988,
197250000,-33.689,
199625000,-31.938,
202000000,-31.251,
204375000,-32.619,
206750000,-33.817,
209125000,-35.568,
211500000,-37.304,
213875000,-37.955,
216250000,-39.671,
218625000,-37.2,
221000000,-34.104,
223375000,-33.499,
225750000,-35.374,
228125000,-38.257,
230500000,-38.672,
232875000,-37.5,
235250000,-37.88,
237625000,-36.458,
240000000,-35.703,
242375000,-36.678,
244750000,-39.141,
247125000,-42.156,
249500000,-44.458,
251875000,-44.783,
254250000,-44.397,
256625000,-44.402,
259000000,-45.608,
261375000,-45.389,
263750000,-42.628,
266125000,-41.557,
268500000,-41.563,
270875000,-42.241,
273250000,-43.605,
275625000,-46.456,
278000000,-51.584,
280375000,-40.704,
282750000,-36.819,
285125000,-35.134,
287500000,-34.03,
289875000,-33.707,
292250000,-33.971,
294625000,-34.117,
297000000,-34.284,
299375000,-34.696,
301750000,-35.304,
304125000,-34.022,
306500000,-32.003,
308875000,-32.65,
311250000,-33.5,
313625000,-33.918,
316000000,-34.618,
318375000,-34.389,
320750000,-33.168,
323125000,-33.167,
325500000,-33.706,
327875000,-34.958,
330250000,-36.932,
332625000,-36.611,
335000000,-38.901,
337375000,-44.874,
339750000,-44.729,
342125000,-41.432,
344500000,-39.045,
346875000,-37.699,
349250000,-36.785,
351625000,-37.441,
354000000,-40.295,
356375000,-41.951,
358750000,-40.957,
361125000,-39.35,
363500000,-38.236,
365875000,-37.768,
368250000,-37.743,
370625000,-37.698,
373000000,-37.656,
375375000,-39.314,
377750000,-39.53,
380125000,-38.029,
382500000,-37.132,
384875000,-36.423,
387250000,-36.034,
389625000,-35.926,
392000000,-35.983,
394375000,-36.652,
396750000,-38.097,
399125000,-37.972,
401500000,-36.95,
403875000,-36.157,
406250000,-35.643,
408625000,-35.552,
411000000,-35.646,
413375000,-35.798,
415750000,-36.108,
418125000,-36.592,
420500000,-36.217,
422875000,-35.57,
425250000,-35.273,
427625000,-35.236,
430000000,-35.343,
432375000,-35.574,
434750000,-35.826,
437125000,-35.801,
439500000,-35.541,
441875000,-35.238,
444250000,-35.034,
446625000,-34.979,
449000000,-34.929,
451375000,-34.955,
453750000,-35.021,
456125000,-35.016,
458500000,-34.934,
460875000,-34.821,
463250000,-34.663,
465625000,-34.526,
468000000,-34.535,
470375000,-34.742,
