NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","09:59:51",
CHAN,MEAS,FORMAT
4,S22,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 8.2477E-1,-1.0498E+2
52375000, 8.3361E-1,-1.0964E+2
54750000, 8.4155E-1,-1.1422E+2
57125000, 8.4869E-1,-1.1815E+2
59500000, 8.5809E-1,-1.2225E+2
61875000, 8.6658E-1,-1.2637E+2
64250000, 8.7521E-1,-1.3074E+2
66625000, 8.8181E-1,-1.3495E+2
69000000, 8.8761E-1,-1.3931E+2
71375000, 8.9436E-1,-1.432E+2
73750000, 9.0271E-1,-1.4738E+2
76125000, 9.0825E-1,-1.5203E+2
78500000, 9.1114E-1,-1.5643E+2
80875000, 9.2043E-1,-1.6124E+2
83250000, 9.2358E-1,-1.6594E+2
85625000, 9.2459E-1,-1.7074E+2
88000000, 9.2452E-1,-1.7603E+2
90375000, 9.233E-1, 1.7832E+2
92750000, 9.174E-1, 1.722E+2
95125000, 9.0397E-1, 1.6553E+2
97500000, 8.6778E-1, 1.5848E+2
99875000, 8.6991E-1, 1.5269E+2
102250000, 8.1451E-1, 1.4343E+2
104625000, 7.3716E-1, 1.3597E+2
107000000, 6.6162E-1, 1.3049E+2
109375000, 6.1231E-1, 1.2453E+2
111750000, 5.742E-1, 1.1367E+2
114125000, 4.5593E-1, 1.013E+2
116500000, 3.4001E-1, 1.0685E+2
118875000, 4.812E-1, 8.0119E+1
121250000, 2.8272E-1, 4.1211E+1
123625000, 1.8311E-1,-1.3331E+1
126000000, 1.9499E-1,-7.5863E+1
128375000, 2.7139E-1,-1.1548E+2
130750000, 3.3541E-1,-1.4435E+2
133125000, 3.4365E-1,-1.6532E+2
135500000, 2.9983E-1,-1.7647E+2
137875000, 2.4762E-1, 1.7832E+2
140250000, 1.8011E-1,-1.5906E+2
142625000, 2.9966E-1,-1.5953E+2
145000000, 2.8813E-1,-1.6112E+2
147375000, 3.2279E-1,-1.5585E+2
149750000, 3.8174E-1,-1.5609E+2
152125000, 4.3603E-1,-1.6098E+2
154500000, 4.7699E-1,-1.6828E+2
156875000, 5.0001E-1,-1.7675E+2
159250000, 4.9641E-1, 1.7486E+2
161625000, 4.823E-1, 1.7143E+2
164000000, 5.2242E-1, 1.6055E+2
166375000, 4.422E-1, 1.4824E+2
168750000, 3.3788E-1, 1.4408E+2
171125000, 2.529E-1, 1.5255E+2
173500000, 2.4639E-1, 1.7064E+2
175875000, 3.0241E-1, 1.7745E+2
178250000, 3.612E-1, 1.7137E+2
180625000, 3.5121E-1, 1.6512E+2
183000000, 3.5779E-1, 1.6393E+2
185375000, 3.604E-1, 1.5938E+2
187750000, 3.5012E-1, 1.5187E+2
190125000, 2.9999E-1, 1.4124E+2
192500000, 2.1574E-1, 1.3281E+2
194875000, 1.0735E-1, 1.4072E+2
197250000, 9.0649E-2,-1.5146E+2
199625000, 1.8326E-1,-1.3411E+2
202000000, 2.692E-1,-1.3807E+2
204375000, 3.411E-1,-1.4556E+2
206750000, 3.8494E-1,-1.5249E+2
209125000, 4.154E-1,-1.5805E+2
211500000, 4.2522E-1,-1.6084E+2
213875000, 4.3323E-1,-1.623E+2
216250000, 4.384E-1,-1.6336E+2
218625000, 4.5037E-1,-1.6023E+2
221000000, 5.0269E-1,-1.5775E+2
223375000, 5.8864E-1,-1.5825E+2
225750000, 6.6572E-1,-1.6221E+2
228125000, 7.3207E-1,-1.6836E+2
230500000, 7.7667E-1,-1.7397E+2
232875000, 8.0209E-1,-1.7982E+2
235250000, 8.2562E-1, 1.7432E+2
237625000, 8.2266E-1, 1.687E+2
240000000, 8.084E-1, 1.643E+2
