NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:28:38",
CHAN,MEAS,FORMAT
1,S11,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,deg,
50000000,-1.0516E+2,
52375000,-1.0974E+2,
54750000,-1.1439E+2,
57125000,-1.1881E+2,
59500000,-1.2274E+2,
61875000,-1.267E+2,
64250000,-1.3079E+2,
66625000,-1.3522E+2,
69000000,-1.3993E+2,
71375000,-1.4426E+2,
73750000,-1.4893E+2,
76125000,-1.534E+2,
78500000,-1.5783E+2,
80875000,-1.6237E+2,
83250000,-1.6682E+2,
85625000,-1.7194E+2,
88000000,-1.7742E+2,
90375000, 1.7696E+2,
92750000, 1.7081E+2,
95125000, 1.6509E+2,
97500000, 1.5729E+2,
99875000, 1.4846E+2,
102250000, 1.3945E+2,
104625000, 1.3166E+2,
107000000, 1.2696E+2,
109375000, 1.2223E+2,
111750000, 1.147E+2,
114125000, 1.022E+2,
116500000, 8.6925E+1,
118875000, 6.4447E+1,
121250000, 3.0439E+1,
123625000,-1.7117E+1,
126000000,-7.4739E+1,
128375000,-1.0998E+2,
130750000,-1.3479E+2,
133125000,-1.5358E+2,
135500000,-1.6882E+2,
137875000,-1.7695E+2,
140250000,-1.7542E+2,
142625000,-1.7241E+2,
145000000,-1.6767E+2,
147375000,-1.6538E+2,
149750000,-1.6639E+2,
152125000,-1.7023E+2,
154500000,-1.7624E+2,
156875000, 1.7607E+2,
159250000, 1.6769E+2,
161625000, 1.6097E+2,
164000000, 1.5024E+2,
166375000, 1.4044E+2,
168750000, 1.3394E+2,
171125000, 1.3374E+2,
173500000, 1.4347E+2,
175875000, 1.5991E+2,
178250000, 1.7164E+2,
180625000, 1.6741E+2,
183000000, 1.6427E+2,
185375000, 1.5591E+2,
187750000, 1.468E+2,
190125000, 1.3592E+2,
192500000, 1.2662E+2,
194875000, 1.4283E+2,
197250000,-1.2503E+2,
199625000,-1.2475E+2,
202000000,-1.3675E+2,
204375000,-1.451E+2,
206750000,-1.5135E+2,
209125000,-1.5707E+2,
211500000,-1.6139E+2,
213875000,-1.663E+2,
216250000,-1.6749E+2,
218625000,-1.6556E+2,
221000000,-1.6181E+2,
223375000,-1.6055E+2,
225750000,-1.6486E+2,
228125000,-1.7151E+2,
230500000,-1.7747E+2,
232875000, 1.753E+2,
235250000, 1.7057E+2,
237625000, 1.6514E+2,
240000000, 1.6151E+2,
242375000, 1.5874E+2,
244750000, 1.5468E+2,
247125000, 1.5253E+2,
249500000, 1.4978E+2,
251875000, 1.4661E+2,
254250000, 1.4481E+2,
256625000, 1.415E+2,
259000000, 1.3899E+2,
261375000, 1.3737E+2,
263750000, 1.3388E+2,
266125000, 1.3202E+2,
268500000, 1.2923E+2,
270875000, 1.2527E+2,
273250000, 1.2342E+2,
275625000, 1.1904E+2,
278000000, 1.1621E+2,
280375000, 1.1407E+2,
282750000, 1.1005E+2,
285125000, 1.0847E+2,
287500000, 1.0526E+2,
289875000, 1.0265E+2,
292250000, 1.0273E+2,
294625000, 1.0187E+2,
297000000, 1.0375E+2,
299375000, 1.0459E+2,
301750000, 1.0744E+2,
304125000, 1.1224E+2,
306500000, 1.1727E+2,
308875000, 1.2295E+2,
311250000, 1.3094E+2,
313625000, 1.3726E+2,
316000000, 1.4084E+2,
318375000, 1.4258E+2,
320750000, 1.4114E+2,
323125000, 1.4143E+2,
325500000, 1.4156E+2,
327875000, 1.3975E+2,
330250000, 1.3948E+2,
332625000, 1.3855E+2,
335000000, 1.3665E+2,
337375000, 1.357E+2,
339750000, 1.3235E+2,
342125000, 1.298E+2,
344500000, 1.2948E+2,
346875000, 1.2754E+2,
349250000, 1.2707E+2,
351625000, 1.2538E+2,
