NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:14:46",
CHAN,MEAS,FORMAT
3,S12,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,dB,
-20000,-105.85,
-18895,-100.25,
-17789,-103.01,
-16684,-122.56,
-15579,-106.03,
-14474,-105.17,
-13368,-116.35,
-12263,-105.92,
-11158,-105.98,
-10053,-107.56,
-8947,-98.603,
-7842,-95.834,
-6737,-94.929,
-5632,-97.806,
-4526,-93.158,
-3421,-93.144,
-2316,-87.484,
-1211,-82.389,
-105,-56.883,
1000,-39.032,
2105,-35.537,
3211,-41.156,
4316,-52.214,
5421,-79.756,
6526,-67.887,
7632,-52.309,
8737,-50.211,
9842,-50.059,
10947,-49.411,
12053,-54.684,
13158,-55.211,
14263,-50.873,
15368,-67.942,
16474,-53.631,
17579,-63.629,
18684,-63.343,
19789,-57.915,
20895,-74.045,
22000,-66.048,
23105,-74.599,
24211,-73.782,
25316,-65.93,
26421,-65.353,
27526,-71.945,
28632,-76.213,
29737,-79.681,
30842,-71.569,
31947,-77.345,
33053,-64.94,
34158,-60.683,
35263,-63.725,
36368,-60.542,
37474,-63.012,
38579,-65.716,
39684,-65.838,
40789,-67.849,
41895,-67.551,
43000,-61.134,
44105,-64.086,
45210,-61.633,
46316,-62.214,
47421,-66.209,
48526,-65.499,
49632,-69.609,
50737,-71.746,
51842,-65.365,
52947,-65.332,
54053,-63.286,
55158,-61.202,
56263,-61.207,
57368,-72.662,
58474,-92.388,
59579,-67.43,
60684,-68.097,
61789,-68.736,
62895,-68.483,
64000,-76.229,
65105,-81.744,
66210,-76.099,
67316,-78.137,
68421,-73.884,
69526,-72.136,
70632,-67.004,
71737,-66.543,
72842,-67.827,
73947,-71.589,
75053,-88.705,
76158,-68.437,
77263,-68.79,
78368,-71.548,
79474,-72.91,
80579,-73.97,
81684,-68.69,
82789,-67.898,
83895,-73.057,
85000,-72.766,
86105,-78.373,
87210,-70.329,
88316,-71.996,
89421,-81.014,
90526,-77.958,
91632,-68.438,
92737,-67.905,
93842,-69.779,
94947,-73.78,
96053,-77.357,
97158,-71.481,
98263,-70.625,
99368,-75.033,
100474,-84.645,
101579,-79.086,
102684,-76.168,
103789,-74.845,
104895,-79.444,
106000,-87.147,
107105,-91.602,
108210,-87.574,
109316,-91.174,
110421,-81.444,
111526,-82.464,
112632,-79.329,
113737,-79.581,
114842,-77.044,
115947,-77.091,
117053,-77.744,
118158,-84.634,
119263,-96.988,
120368,-85.751,
121474,-80.343,
122579,-80.767,
123684,-89.017,
124789,-88.422,
125895,-79.424,
127000,-75.727,
128105,-79.737,
129210,-83.144,
130316,-79.055,
131421,-79.389,
132526,-86.617,
133631,-82.299,
134737,-77.071,
135842,-74.196,
136947,-75.448,
138053,-81.366,
139158,-83.332,
140263,-76.29,
141368,-74.282,
142474,-76.459,
143579,-78.655,
144684,-82.731,
145789,-83.367,
146895,-81.611,
148000,-87.267,
149105,-104.11,
150210,-91.036,
151316,-86.696,
152421,-92.773,
153526,-89.685,
154631,-86.554,
155737,-91.888,
156842,-85.784,
157947,-94.305,
159053,-90.567,
160158,-89.727,
161263,-87.041,
162368,-85.907,
163474,-82.131,
164579,-88.859,
165684,-83.739,
166789,-80.099,
167895,-81.53,
169000,-84.465,
170105,-88.664,
171210,-79.913,
172316,-80.121,
173421,-84.421,
174526,-91.872,
175631,-88.805,
176737,-83.932,
177842,-85.289,
178947,-85.719,
180053,-85.342,
181158,-85.936,
182263,-91.696,
183368,-111.3,
184474,-96.896,
185579,-91.601,
186684,-90.019,
187789,-91.075,
188895,-92.058,
190000,-97.266,
191105,-90.388,
192210,-89.767,
193316,-92.076,
194421,-95.507,
195526,-102.35,
