NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:15:27",
CHAN,MEAS,FORMAT
1,S11,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,deg,
-20000, 1.3372E+2,
-18895, 1.7082E+2,
-17789,-1.7857E+2,
-16684,-1.708E+2,
-15579,-1.5617E+2,
-14474,-6.6147E+1,
-13368,-1.0458E+2,
-12263,-4.1807E+1,
-11158, 2.7328E-1,
-10053, 9.4208E-1,
-8947, 1.2177E+2,
-7842, 2.0159E+1,
-6737,-1.0587E+2,
-5632,-1.4631E+2,
-4526,-2.6826E+1,
-3421, 5.1143E+1,
-2316, 1.008E+2,
-1211, 1.7239E+2,
-105, 4.7243E+1,
1000,-1.0272E+2,
2105, 2.5516E+1,
3211, 1.7835E+2,
4316,-2.477E+1,
5421, 1.62E+2,
6526,-1.037E+1,
7632,-1.6088E+2,
8737, 1.131E+2,
9842,-3.6808E+1,
10947, 1.0084E+2,
12053,-1.3684E+2,
13158, 1.7201E+2,
14263,-6.644E+0,
15368,-1.2234E+2,
16474, 4.4653E+1,
17579, 1.0408E+2,
18684, 1.5433E+2,
19789,-4.364E+1,
20895, 1.1778E+2,
22000,-1.2479E+2,
23105,-6.3494E+1,
24211, 4.4241E+1,
25316, 1.7344E+2,
26421,-2.3255E+1,
27526, 6.48E+1,
28632, 1.3548E+2,
29737, 1.7822E+2,
30842,-1.2478E+2,
31947,-2.1411E+1,
33053, 1.5497E+2,
34158,-1.1304E+2,
35263,-2.6959E+1,
36368, 4.6078E+1,
37474, 1.4609E+2,
38579,-1.6579E+2,
39684,-6.605E+1,
40789,-1.6165E+1,
41895, 5.0113E+1,
43000, 1.3871E+2,
44105,-1.5955E+2,
45210,-7.1921E+1,
46316, 7.3389E+0,
47421, 6.5381E+1,
48526,-1.5141E+2,
49632,-5.8795E+1,
50737, 3.2493E+1,
51842,-1.7749E+2,
52947, 1.2424E+2,
54053,-9.9757E+1,
55158,-1.5128E+2,
56263,-5.9697E+1,
57368,-1.0649E+1,
58474, 4.4389E+1,
59579, 1.3562E+2,
60684, 1.3942E+2,
61789,-1.0842E+2,
62895, 3.1586E+1,
64000, 1.6253E+1,
65105, 1.7925E+2,
66210,-7.0528E+1,
67316, 2.9222E+1,
68421, 1.3782E+2,
69526, 6.7825E+1,
70632,-1.5082E+2,
71737, 3.4717E+0,
72842, 8.1167E+1,
73947, 1.7949E+2,
75053,-1.0407E+2,
76158,-2.0294E+1,
77263, 1.3567E+1,
78368, 8.5769E+1,
79474, 1.327E+2,
80579,-1.241E+2,
81684,-2.0153E+1,
82789, 2.1252E+1,
83895, 1.2983E+2,
85000,-1.0349E+2,
86105, 2.6098E+1,
87210, 1.3611E+2,
88316,-3.2338E+1,
89421, 1.2341E+2,
90526,-1.3769E+2,
91632,-1.293E+1,
92737, 7.9856E+1,
93842,-1.2467E+2,
94947,-3.6845E+1,
96053, 1.0638E+2,
97158,-1.1941E+2,
98263,-9.6323E+0,
99368,-3.2331E+1,
100474, 1.6598E+2,
101579, 2.648E+1,
102684, 1.083E+2,
103789, 4.7439E+1,
104895, 1.056E+2,
106000,-1.6329E+2,
107105,-7.647E+1,
108210, 1.7812E+0,
109316, 6.5359E+1,
110421, 1.409E+2,
111526,-1.5897E+2,
112632,-7.0388E+1,
113737, 9.6314E+1,
114842, 1.6243E+2,
115947,-1.1483E+2,
117053,-4.093E+1,
118158, 1.4378E+1,
119263, 7.3713E+1,
120368,-8.6537E+1,
121474,-2.1698E+1,
122579, 6.2246E+1,
123684,-1.6228E+2,
124789,-1.9347E+1,
125895, 1.1928E+2,
127000,-3.6678E+1,
128105, 9.2738E+1,
129210,-1.552E+2,
130316,-2.654E+1,
131421, 1.2925E+2,
