NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:16:26",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 2.9881E-6,-5.1074E+1
-18895, 5.4767E-6,-5.8019E+1
-17789, 1.5818E-6,-5.6113E+0
-16684, 3.9758E-6, 7.6245E+0
-15579, 3.0135E-6, 2.5476E+1
-14474, 3.5752E-6, 8.0446E+1
-13368, 7.39E-6, 1.5368E+2
-12263, 2.0353E-6, 1.1504E+2
-11158, 8.2214E-6,-1.0275E+2
-10053, 6.7974E-6,-1.1611E+2
-8947, 1.0335E-5,-8.0338E+0
-7842, 1.4689E-5,-1.0213E+1
-6737, 1.9292E-5, 8.5031E+1
-5632, 1.1274E-5, 7.9959E+1
-4526, 2.2077E-5, 1.3933E+2
-3421, 1.9499E-5, 1.6528E+2
-2316, 3.4681E-5,-1.1916E+2
-1211, 7.832E-5,-3.9867E+0
-105, 1.4439E-3, 4.6262E+1
1000, 1.1206E-2,-8.8303E+1
2105, 1.6719E-2, 1.2848E+2
3211, 8.7384E-3,-7.2784E+0
4316, 2.4482E-3,-1.0872E+2
5421, 1.0067E-4,-1.5079E+2
6526, 3.9908E-4, 1.0622E+1
7632, 2.4185E-3,-2.9791E+1
8737, 3.0702E-3,-1.4375E+2
9842, 3.145E-3, 1.5811E+2
10947, 3.3871E-3, 2.5362E+1
12053, 1.8407E-3,-1.1848E+2
13158, 1.7354E-3, 1.626E+2
14263, 2.8606E-3, 4.83E+1
15368, 3.9185E-4,-2.9855E+0
16474, 2.0795E-3,-1.0005E+2
17579, 6.6236E-4, 1.0467E+2
18684, 6.8468E-4, 6.5057E+1
19789, 1.2788E-3,-8.997E+1
20895, 2.0114E-4, 4.8179E+1
22000, 5.0062E-4, 1.1161E+2
23105, 1.8655E-4, 7.5115E+1
24211, 2.0648E-4, 1.5364E+2
25316, 5.0926E-4,-1.6376E+2
26421, 5.4049E-4,-4.4896E+1
27526, 2.4887E-4, 1.2088E+1
28632, 1.5049E-4, 1.5333E+2
29737, 1.1044E-4, 2.7346E+1
30842, 2.6975E-4, 6.2898E+1
31947, 1.3819E-4, 1.4581E+2
33053, 5.7183E-4, 1.5595E+2
34158, 9.3127E-4,-8.2914E+1
35263, 6.587E-4,-8.6943E+0
36368, 9.4288E-4, 8.2805E+1
37474, 7.1289E-4, 1.6458E+2
38579, 5.163E-4,-8.4452E+1
39684, 5.2218E-4,-8.6358E+1
40789, 4.0544E-4, 2.5498E+1
41895, 4.2902E-4, 3.8815E+1
43000, 8.7602E-4, 1.2696E+2
44105, 6.4893E-4,-1.368E+2
45210, 8.2739E-4,-7.7228E+1
46316, 7.9359E-4, 4.3125E+1
47421, 4.9709E-4, 1.6468E+2
48526, 5.0912E-4,-3.1697E+1
49632, 3.4385E-4, 1.1224E+2
50737, 2.3046E-4, 1.3507E+2
51842, 5.4227E-4,-5.0092E+1
52947, 5.5667E-4, 1.2414E+2
54053, 7.0664E-4,-1.4458E+2
55158, 8.689E-4,-4.3472E+1
56263, 8.2244E-4, 7.4209E+1
57368, 2.0704E-4,-1.4541E+2
58474, 3.9848E-5, 5.1792E+1
59579, 4.5005E-4, 1.0256E+2
60684, 4.5204E-4,-1.2412E+2
61789, 3.9368E-4,-7.6242E+1
62895, 4.2375E-4, 3.7108E+1
64000, 1.6332E-4, 1.6237E+2
65105, 9.3015E-5,-1.3164E+2
66210, 1.3481E-4,-2.0689E+1
67316, 7.1549E-5, 7.8415E+1
68421, 2.4204E-4, 7.314E+1
69526, 2.6296E-4, 1.6344E+2
70632, 4.8384E-4,-1.4049E+2
71737, 4.9123E-4,-4.7497E+1
