NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","09:57:26",
CHAN,MEAS,FORMAT
4,S22,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,dB,
-20000,-74.529,
-18895,-67.742,
-17789,-80.626,
-16684,-66.516,
-15579,-70.353,
-14474,-66.629,
-13368,-69.662,
-12263,-67.483,
-11158,-68.829,
-10053,-72.727,
-8947,-74.893,
-7842,-69.559,
-6737,-68.745,
-5632,-62.809,
-4526,-61.662,
-3421,-59.182,
-2316,-61.227,
-1211,-25.517,
-105,-8.5184,
1000,-7.5158,
2105,-16.651,
3211,-16.847,
4316,-18.854,
5421,-18.107,
6526,-14.081,
7632,-17.034,
8737,-22.061,
9842,-22.608,
10947,-25.314,
12053,-29.095,
13158,-41.128,
14263,-30.491,
15368,-34.579,
16474,-39.57,
17579,-44.488,
18684,-54.862,
19789,-46.911,
20895,-39.669,
22000,-44.728,
23105,-45.901,
24211,-48.964,
25316,-55.282,
26421,-55.962,
27526,-58.681,
28632,-52.831,
29737,-57.278,
30842,-56.824,
31947,-56.169,
33053,-50.428,
34158,-52.419,
35263,-47.036,
36368,-43.964,
37474,-53.37,
38579,-45.115,
39684,-45.18,
40789,-47.621,
41895,-44.109,
43000,-49.057,
44105,-53.461,
45210,-52.066,
46316,-63.969,
47421,-62.8,
48526,-68.263,
49632,-78.536,
50737,-56.387,
51842,-76.8,
52947,-51.141,
54053,-61.215,
55158,-58.545,
56263,-63.589,
57368,-57.577,
58474,-63.287,
59579,-57.841,
60684,-57.697,
61789,-67.68,
62895,-66.098,
64000,-64.231,
65105,-57.522,
66210,-61.917,
67316,-61.962,
68421,-60.041,
69526,-62.255,
70632,-62.615,
71737,-61.695,
72842,-68.736,
73947,-67.648,
75053,-77.513,
76158,-78.133,
77263,-69.429,
78368,-68.516,
79474,-67.816,
80579,-62.176,
81684,-62.95,
82789,-62.331,
83895,-62.473,
85000,-61.463,
86105,-60.791,
87210,-66.51,
88316,-66.626,
89421,-69.699,
90526,-73.215,
91632,-73.155,
92737,-76.777,
93842,-69.995,
94947,-78.063,
96053,-71.32,
97158,-72.514,
98263,-70.22,
99368,-72.015,
100474,-67.249,
101579,-72.858,
102684,-70.921,
103789,-73.145,
104895,-73.46,
106000,-84.56,
107105,-77.648,
108210,-70.426,
109316,-69.008,
110421,-69.574,
111526,-70.434,
112632,-71.511,
113737,-72.496,
114842,-75.704,
115947,-78.243,
117053,-74.93,
118158,-72.556,
119263,-72.859,
120368,-75.671,
121474,-77.444,
122579,-73.546,
123684,-72.151,
124789,-72.81,
125895,-75.239,
127000,-71.998,
128105,-73.371,
129210,-73.765,
130316,-74.965,
131421,-75.132,
132526,-76.707,
133631,-76.557,
134737,-74.566,
135842,-75.758,
136947,-76.603,
138053,-80.045,
139158,-80.071,
140263,-77.689,
141368,-75.529,
142474,-72.94,
143579,-72.607,
144684,-72.193,
145789,-69.923,
146895,-71.56,
148000,-73.249,
149105,-71.966,
150210,-70.079,
151316,-69.831,
152421,-70.432,
153526,-71.748,
154631,-73.047,
155737,-74.099,
156842,-77.686,
157947,-77.662,
159053,-82.431,
160158,-76.945,
161263,-81.155,
162368,-79.049,
163474,-79.941,
164579,-78.088,
165684,-80.195,
166789,-76.378,
167895,-78.72,
169000,-81.892,
170105,-75.883,
171210,-79.398,
172316,-82.233,
173421,-80.78,
174526,-79.932,
175631,-79.142,
176737,-88.403,
177842,-84.596,
178947,-80.765,
180053,-83.336,
181158,-77.864,
182263,-80.178,
183368,-79.373,
184474,-88.604,
185579,-78.473,
186684,-76.23,
187789,-87.218,
188895,-74.699,
190000,-73.73,
191105,-77.177,
192210,-73.977,
193316,-72.116,
194421,-74.115,
195526,-74.699,
