NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","09:58:11",
CHAN,MEAS,FORMAT
4,S22,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,deg,
-20000, 1.3199E+2,
-18895, 1.6692E+2,
-17789,-1.5973E+2,
-16684,-1.579E+2,
-15579,-1.2347E+2,
-14474,-1.0619E+2,
-13368,-6.3828E+1,
-12263,-3.6961E+1,
-11158,-2.3055E+1,
-10053, 2.059E+1,
-8947, 1.1258E+2,
-7842, 5.7743E+1,
-6737,-2.7041E+1,
-5632,-1.0867E+2,
-4526,-2.7845E+1,
-3421, 3.5467E+1,
-2316, 1.3947E+2,
-1211,-1.7717E+2,
-105, 5.3749E+1,
1000,-9.8032E+1,
2105, 2.8515E+1,
3211,-1.7737E+2,
4316,-2.0667E+1,
5421, 1.6581E+2,
6526,-7.2826E+0,
7632,-1.5645E+2,
8737, 1.1404E+2,
9842,-3.6523E+1,
10947, 9.8871E+1,
12053,-1.3674E+2,
13158,-1.768E+2,
14263,-2.3071E-1,
15368,-1.2846E+2,
16474, 3.6037E+1,
17579, 1.2966E+2,
18684,-1.4473E+2,
19789,-2.6956E+1,
20895, 1.1955E+2,
22000,-1.1698E+2,
23105,-5.1644E+1,
24211, 4.2925E+1,
25316, 1.798E+2,
26421,-1.3004E+1,
27526, 6.0524E+1,
28632, 1.2637E+2,
29737,-1.6905E+2,
30842,-1.145E+2,
31947, 1.0029E+1,
33053,-1.7935E+2,
34158,-5.1218E+1,
35263,-4.2161E+1,
36368, 1.0428E+2,
37474, 7.2876E+1,
38579,-1.5757E+2,
39684,-7.2724E+1,
40789,-1.8015E+1,
41895, 7.4228E+1,
43000, 1.587E+2,
44105,-1.3913E+2,
45210,-5.3932E+1,
46316, 4.5372E+1,
47421, 1.3221E+2,
48526,-7.3938E+1,
49632,-9.1129E+1,
50737, 4.5503E+1,
51842, 1.5142E+1,
52947, 1.7241E+2,
54053,-7.3441E+1,
55158,-5.3455E+1,
56263, 7.8606E+1,
57368,-5.2409E+1,
58474, 4.3792E+1,
59579, 9.5529E+1,
60684,-1.7861E+2,
61789,-6.9317E+1,
62895,-1.15E+2,
64000,-6.5388E+1,
65105, 1.0374E+1,
66210, 7.7198E+1,
67316, 1.6438E+2,
68421, 1.3734E+2,
69526,-9.8609E+1,
70632,-8.2101E+1,
71737, 2.872E+1,
72842, 9.3631E+1,
73947,-1.5752E+2,
75053,-1.5702E+2,
76158,-3.1525E+1,
77263, 4.2218E+1,
78368,-1.7932E+2,
79474,-1.1998E+2,
80579,-5.9661E+1,
81684, 2.211E+1,
82789, 7.7706E+1,
83895, 1.3733E+2,
85000,-1.5893E+2,
86105,-6.9134E+1,
87210, 9.2368E+0,
88316, 6.077E+1,
89421, 1.3639E+2,
90526, 1.3994E+2,
91632,-1.4302E+2,
92737,-9.0644E+1,
93842,-5.0927E+1,
94947, 9.5467E+1,
96053, 1.4655E+2,
97158,-1.0171E+2,
98263,-5.7586E+1,
99368,-2.6856E+1,
100474, 6.7313E+1,
101579, 1.2852E+2,
102684, 1.79E+2,
103789,-1.0778E+2,
104895,-2.116E+1,
106000,-7.9294E+1,
107105, 5.4245E-1,
108210, 5.3487E+1,
109316, 1.147E+2,
110421, 1.7943E+2,
111526,-1.3474E+2,
112632,-8.0313E+1,
113737,-3.8838E+1,
114842, 2.7155E+1,
115947, 4.0012E+1,
117053, 7.2664E+1,
118158, 1.4649E+2,
119263,-1.4871E+2,
120368,-7.6771E+1,
121474,-7.505E+1,
122579,-4.0253E+1,
123684, 2.3606E+1,
124789, 7.4994E+1,
125895, 1.0289E+2,
127000, 1.5781E+2,
128105,-1.6356E+2,
129210,-1.1081E+2,
130316,-5.6482E+1,
