NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"16 Apr 2014 ","10:31:04",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 1.3505E-5,-1.6373E+2
-18895, 1.6231E-5,-1.068E+2
-17789, 1.0947E-5,-7.6595E+1
-16684, 1.4353E-5,-2.7313E+1
-15579, 1.2398E-5, 1.034E+1
-14474, 1.1789E-5, 6.4035E+1
-13368, 1.1209E-5, 1.2503E+2
-12263, 7.8259E-6, 1.2922E+2
-11158, 8.7011E-6,-1.3487E+2
-10053, 1.0554E-5,-1.3243E+2
-8947, 8.8982E-6,-3.0151E+1
-7842, 1.4513E-5,-2.9119E+1
-6737, 1.5319E-5, 7.4148E+1
-5632, 1.1158E-5, 4.8126E+1
-4526, 2.051E-5, 1.2259E+2
-3421, 1.8879E-5, 1.4658E+2
-2316, 2.981E-5,-1.3098E+2
-1211, 7.0698E-5,-1.0258E+0
-105, 1.4412E-3, 4.6608E+1
1000, 1.1243E-2,-8.79E+1
2105, 1.6722E-2, 1.2901E+2
3211, 8.7351E-3,-6.4682E+0
4316, 2.4594E-3,-1.0731E+2
5421, 1.2639E-4,-1.7164E+2
6526, 4.1894E-4, 1.2424E+1
7632, 2.4114E-3,-3.1111E+1
8737, 2.972E-3,-1.4321E+2
9842, 3.1222E-3, 1.5818E+2
10947, 3.2917E-3, 2.5797E+1
12053, 1.8524E-3,-1.1734E+2
13158, 1.7568E-3, 1.6208E+2
14263, 2.8589E-3, 4.8204E+1
15368, 4.2873E-4,-3.9839E+0
16474, 2.0259E-3,-1.0127E+2
17579, 6.3357E-4, 1.0692E+2
18684, 6.6668E-4, 6.0947E+1
19789, 1.2448E-3,-8.9228E+1
20895, 1.8611E-4, 5.7729E+1
22000, 4.8751E-4, 1.1175E+2
23105, 2.1442E-4, 7.2761E+1
24211, 2.4048E-4, 1.5882E+2
25316, 5.0392E-4,-1.5888E+2
26421, 5.5245E-4,-4.3577E+1
27526, 2.6363E-4, 9.6405E+0
28632, 1.6814E-4, 1.2919E+2
29737, 8.9156E-5, 7.3251E+1
30842, 1.7209E-4, 5.6415E+1
31947, 1.6667E-4, 1.147E+2
33053, 6.4505E-4, 1.7579E+2
34158, 9.4961E-4,-6.6473E+1
35263, 7.3488E-4, 8.8824E+0
36368, 1.0237E-3, 1.089E+2
37474, 5.4355E-4,-1.7499E+2
38579, 5.1256E-4,-7.4601E+1
39684, 5.2273E-4,-8.7001E+1
40789, 5.2242E-4, 1.5488E+1
41895, 6.3518E-4, 6.5738E+1
43000, 1.0158E-3, 1.5111E+2
44105, 6.7796E-4,-9.7655E+1
45210, 4.2165E-4,-4.4448E+1
46316, 2.4082E-4, 6.1173E+1
47421, 1.1861E-4,-7.7039E+1
48526, 4.6092E-4, 6.4744E+1
49632, 3.8393E-4,-1.6256E+2
50737, 3.9454E-4,-8.8756E+0
51842, 3.5424E-4, 1.4008E+2
52947, 7.1871E-4,-1.4932E+2
54053, 9.106E-4,-2.1638E+1
55158, 3.7224E-4, 7.294E+1
56263, 4.4401E-4, 1.3893E+2
57368, 1.6508E-4, 1.0503E+2
58474, 5.1037E-4,-1.2149E+2
59579, 2.7623E-4,-3.7148E+0
60684, 1.8681E-4,-2.7355E+1
61789, 1.1663E-4, 7.5633E+1
62895, 3.7011E-4, 9.2616E+1
64000, 4.0736E-4,-1.4383E+2
65105, 2.0579E-4,-3.2796E+1
66210, 1.6786E-5, 5.4536E+1
67316, 1.7288E-4,-1.0887E+2
68421, 4.3833E-4, 4.3955E+1
69526, 3.7465E-4, 1.5796E+2
70632, 4.5642E-4,-1.1016E+2
71737, 4.258E-4, 2.4033E-1
