NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:57:19",
CHAN,MEAS,FORMAT
3,S12,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,deg,
50000000, 9.7861E+0,
52375000, 6.5918E+0,
54750000, 2.6408E+0,
57125000,-5.9601E-1,
59500000,-2.8894E+0,
61875000,-5.603E-1,
64250000, 4.3629E+0,
66625000, 1.2498E+1,
69000000, 1.9896E+1,
71375000, 2.1326E+1,
73750000, 1.771E+1,
76125000, 1.4409E+1,
78500000, 1.4976E+1,
80875000, 2.3096E+1,
83250000, 3.1528E+1,
85625000, 3.6506E+1,
88000000, 3.897E+1,
90375000, 3.9306E+1,
92750000, 3.8517E+1,
95125000, 3.8323E+1,
97500000, 3.8087E+1,
99875000, 3.1311E+1,
102250000, 1.4797E+1,
104625000,-1.3832E+1,
107000000,-4.0596E+1,
109375000,-5.199E+1,
111750000,-5.2824E+1,
114125000,-8.2031E+1,
116500000,-1.1948E+2,
118875000,-1.4358E+2,
121250000,-1.6024E+2,
123625000,-1.7031E+2,
126000000,-1.7787E+2,
128375000, 1.7066E+2,
130750000, 1.5528E+2,
133125000, 1.3826E+2,
135500000, 1.2137E+2,
137875000, 1.0639E+2,
140250000, 9.2341E+1,
142625000, 7.7028E+1,
145000000, 6.0373E+1,
147375000, 4.3039E+1,
149750000, 2.5319E+1,
152125000, 7.1233E+0,
154500000,-1.0054E+1,
156875000,-2.417E+1,
159250000,-3.361E+1,
161625000,-3.9357E+1,
164000000,-4.5066E+1,
166375000,-5.159E+1,
168750000,-5.5513E+1,
171125000,-5.057E+1,
173500000,-3.0649E+1,
175875000,-1.7761E+1,
178250000,-2.0848E+1,
180625000,-3.4257E+1,
183000000,-4.8018E+1,
185375000,-6.7036E+1,
187750000,-8.2374E+1,
190125000,-9.8995E+1,
192500000,-1.1255E+2,
194875000,-1.2431E+2,
197250000,-1.3574E+2,
199625000,-1.436E+2,
202000000,-1.5107E+2,
204375000,-1.5507E+2,
206750000,-1.6086E+2,
209125000,-1.7401E+2,
211500000, 1.6607E+2,
213875000, 1.367E+2,
216250000, 9.7513E+1,
218625000, 4.7699E+1,
221000000,-2.3607E+0,
223375000,-3.4563E+1,
225750000,-5.7901E+1,
228125000,-6.8505E+1,
230500000,-7.8672E+1,
232875000,-8.6942E+1,
235250000,-9.5744E+1,
237625000,-1.0965E+2,
240000000,-1.2717E+2,
242375000,-1.4706E+2,
244750000,-1.6111E+2,
247125000,-1.745E+2,
249500000, 1.7836E+2,
251875000, 1.7846E+2,
254250000,-4.7935E+1,
256625000,-4.8638E+1,
259000000,-6.1024E+1,
261375000,-7.1933E+1,
263750000,-8.8613E+1,
266125000,-1.0407E+2,
268500000,-1.2666E+2,
270875000,-1.5118E+2,
273250000, 5.8607E+1,
275625000, 1.158E+1,
278000000,-6.4668E+0,
280375000,-2.182E+1,
282750000,-3.098E+1,
285125000,-4.0106E+1,
287500000,-4.54E+1,
289875000,-5.4044E+1,
292250000,-6.311E+1,
294625000,-7.2793E+1,
297000000,-8.3131E+1,
299375000,-9.1305E+1,
301750000,-9.6853E+1,
304125000,-9.9632E+1,
306500000,-1.0611E+2,
308875000,-1.1346E+2,
311250000,-1.2332E+2,
313625000,-1.3626E+2,
316000000,-1.4554E+2,
318375000,-1.5797E+2,
320750000,-1.6625E+2,
323125000,-1.741E+2,
325500000,-1.7932E+2,
327875000,-1.773E+2,
330250000,-1.7187E+2,
332625000,-1.6616E+2,
335000000,-1.65E+2,
337375000,-1.6765E+2,
339750000,-1.6992E+2,
342125000,-1.6972E+2,
344500000,-1.6847E+2,
346875000,-1.6313E+2,
349250000,-1.5792E+2,
351625000,-1.5833E+2,
354000000,-1.5839E+2,
