NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:53:32",
CHAN,MEAS,FORMAT
1,S11,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,deg,
50000000,-1.0494E+2,
52375000,-1.0934E+2,
54750000,-1.1373E+2,
57125000,-1.1779E+2,
59500000,-1.2193E+2,
61875000,-1.263E+2,
64250000,-1.3051E+2,
66625000,-1.3508E+2,
69000000,-1.3916E+2,
71375000,-1.4327E+2,
73750000,-1.4762E+2,
76125000,-1.519E+2,
78500000,-1.5662E+2,
80875000,-1.6118E+2,
83250000,-1.6573E+2,
85625000,-1.7075E+2,
88000000,-1.7579E+2,
90375000, 1.7861E+2,
92750000, 1.7268E+2,
95125000, 1.6649E+2,
97500000, 1.5966E+2,
99875000, 1.5318E+2,
102250000, 1.4725E+2,
104625000, 1.4115E+2,
107000000, 1.3281E+2,
109375000, 1.2274E+2,
111750000, 1.1304E+2,
114125000, 1.0609E+2,
116500000, 9.5764E+1,
118875000, 7.8286E+1,
121250000, 5.3428E+1,
123625000, 1.7482E+1,
126000000,-3.2579E+1,
128375000,-7.6461E+1,
130750000,-1.0573E+2,
133125000,-1.2635E+2,
135500000,-1.4198E+2,
137875000,-1.5387E+2,
140250000,-1.6308E+2,
142625000,-1.7091E+2,
145000000,-1.7697E+2,
147375000, 1.799E+2,
149750000,-1.7925E+2,
152125000,-1.7503E+2,
154500000,-1.7051E+2,
156875000,-1.682E+2,
159250000,-1.6836E+2,
161625000,-1.7059E+2,
164000000,-1.7457E+2,
166375000,-1.7982E+2,
168750000, 1.7377E+2,
171125000, 1.6633E+2,
173500000, 1.5798E+2,
175875000, 1.4885E+2,
178250000, 1.4003E+2,
180625000, 1.3042E+2,
183000000, 1.2365E+2,
185375000, 1.1948E+2,
187750000, 1.2512E+2,
190125000, 1.6094E+2,
192500000,-1.6313E+2,
194875000,-1.5191E+2,
197250000,-1.5225E+2,
199625000,-1.5411E+2,
202000000,-1.5587E+2,
204375000,-1.5902E+2,
206750000,-1.5891E+2,
209125000,-1.5849E+2,
211500000,-1.5878E+2,
213875000,-1.5753E+2,
216250000,-1.5774E+2,
218625000,-1.5709E+2,
221000000,-1.555E+2,
223375000,-1.5816E+2,
225750000,-1.6169E+2,
228125000,-1.6656E+2,
230500000,-1.7347E+2,
232875000,-1.7849E+2,
235250000, 1.7471E+2,
237625000, 1.6966E+2,
240000000, 1.6593E+2,
242375000, 1.6271E+2,
244750000, 1.6057E+2,
247125000, 1.5721E+2,
249500000, 1.5431E+2,
251875000, 1.516E+2,
254250000, 1.4815E+2,
256625000, 1.4591E+2,
259000000, 1.431E+2,
261375000, 1.4011E+2,
263750000, 1.3788E+2,
266125000, 1.344E+2,
268500000, 1.3177E+2,
270875000, 1.295E+2,
273250000, 1.2588E+2,
275625000, 1.2394E+2,
278000000, 1.2076E+2,
280375000, 1.1768E+2,
282750000, 1.1616E+2,
285125000, 1.1219E+2,
287500000, 1.1037E+2,
289875000, 1.0808E+2,
292250000, 1.0541E+2,
294625000, 1.0566E+2,
297000000, 1.0444E+2,
299375000, 1.064E+2,
301750000, 1.0906E+2,
304125000, 1.127E+2,
306500000, 1.1964E+2,
308875000, 1.2822E+2,
311250000, 1.372E+2,
313625000, 1.4465E+2,
316000000, 1.5022E+2,
318375000, 1.5276E+2,
320750000, 1.5363E+2,
323125000, 1.5376E+2,
325500000, 1.5102E+2,
327875000, 1.4871E+2,
330250000, 1.4601E+2,
332625000, 1.4294E+2,
335000000, 1.4156E+2,
337375000, 1.3909E+2,
339750000, 1.3733E+2,
342125000, 1.36E+2,
344500000, 1.3349E+2,
346875000, 1.3253E+2,
349250000, 1.3066E+2,
351625000, 1.287E+2,
