NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","10:05:25",
CHAN,MEAS,FORMAT
2,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,dB,
50000000,-48.653,
52375000,-49.23,
54750000,-49.889,
57125000,-50.188,
59500000,-49.964,
61875000,-49.543,
64250000,-49.406,
66625000,-49.812,
69000000,-50.236,
71375000,-49.209,
73750000,-48.864,
76125000,-50.638,
78500000,-51.258,
80875000,-50.427,
83250000,-48.326,
85625000,-46.63,
88000000,-45.435,
90375000,-44.353,
92750000,-43.211,
95125000,-40.817,
97500000,-36.062,
99875000,-33.687,
102250000,-31.721,
104625000,-28.117,
107000000,-25.63,
109375000,-23.458,
111750000,-21.728,
114125000,-19.867,
116500000,-20.028,
118875000,-21.997,
121250000,-23.263,
123625000,-23.142,
126000000,-22.633,
128375000,-22.621,
130750000,-22.919,
133125000,-23.012,
135500000,-22.487,
137875000,-21.924,
140250000,-21.857,
142625000,-22.182,
145000000,-22.658,
147375000,-23.138,
149750000,-23.749,
152125000,-24.789,
154500000,-25.785,
156875000,-25.742,
159250000,-26.275,
161625000,-28.329,
164000000,-30.896,
166375000,-32.39,
168750000,-31.634,
171125000,-29.875,
173500000,-28.275,
175875000,-27.251,
178250000,-26.833,
180625000,-27.209,
183000000,-28.352,
185375000,-30.097,
187750000,-31.884,
190125000,-33.525,
192500000,-35.276,
194875000,-36.684,
197250000,-38.234,
199625000,-41.263,
202000000,-40.432,
204375000,-36.579,
206750000,-34.586,
209125000,-34.257,
211500000,-35.179,
213875000,-37.131,
216250000,-40.07,
218625000,-43.59,
221000000,-45.768,
223375000,-42.231,
225750000,-37.738,
228125000,-35.314,
230500000,-36.38,
232875000,-38.721,
235250000,-38.087,
237625000,-37.961,
240000000,-38.505,
242375000,-39.184,
244750000,-39.783,
247125000,-40.388,
249500000,-41.195,
251875000,-42.319,
254250000,-44.313,
256625000,-47.792,
259000000,-54.02,
261375000,-67.067,
263750000,-52.574,
266125000,-48.005,
268500000,-46.427,
270875000,-46.469,
273250000,-48.842,
275625000,-52.03,
278000000,-50.285,
280375000,-46.206,
282750000,-41.994,
285125000,-38.688,
287500000,-36.378,
289875000,-34.761,
292250000,-33.845,
294625000,-32.963,
297000000,-31.997,
299375000,-31.431,
301750000,-31.11,
304125000,-30.908,
306500000,-31.055,
308875000,-31.288,
311250000,-31.573,
313625000,-32.107,
316000000,-32.659,
318375000,-33.117,
320750000,-33.617,
323125000,-33.698,
325500000,-34.143,
327875000,-34.78,
330250000,-35.414,
332625000,-36.343,
335000000,-37.17,
337375000,-38.221,
339750000,-40.312,
342125000,-42.682,
344500000,-43.899,
346875000,-42.111,
349250000,-39.817,
351625000,-38.747,
354000000,-38.141,
356375000,-37.747,
358750000,-37.88,
361125000,-38.247,
363500000,-39.039,
365875000,-39.917,
368250000,-39.901,
370625000,-39.174,
373000000,-38.313,
375375000,-37.425,
377750000,-36.884,
380125000,-36.671,
382500000,-36.671,
384875000,-37.154,
387250000,-37.639,
389625000,-37.834,
392000000,-37.78,
394375000,-37.466,
396750000,-37.118,
399125000,-36.9,
401500000,-36.623,
403875000,-36.481,
406250000,-36.395,
408625000,-36.25,
411000000,-36.251,
413375000,-36.277,
415750000,-36.279,
418125000,-36.319,
420500000,-36.271,
422875000,-36.139,
425250000,-36.048,
427625000,-35.778,
430000000,-35.611,
432375000,-35.528,
434750000,-35.523,
437125000,-35.604,
439500000,-35.57,
441875000,-35.434,
444250000,-35.253,
446625000,-35.141,
449000000,-35.093,
451375000,-35.055,
453750000,-34.956,
456125000,-34.814,
458500000,-34.674,
460875000,-34.558,
463250000,-34.452,
465625000,-34.325,
468000000,-34.384,
470375000,-34.538,
