NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","10:11:14",
CHAN,MEAS,FORMAT
4,S22,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,
Hz,dB,
50000000,-1.6123,
52375000,-1.5278,
54750000,-1.445,
57125000,-1.3753,
59500000,-1.3001,
61875000,-1.2067,
64250000,-1.139,
66625000,-1.0842,
69000000,-1.0341,
71375000,-.9606,
73750000,-.9121,
76125000,-.8566,
78500000,-.7997,
80875000,-.7610,
83250000,-.7336,
85625000,-.7201,
88000000,-.7196,
90375000,-.7301,
92750000,-.7750,
95125000,-.8490,
97500000,-.9311,
99875000,-1.0919,
102250000,-1.4984,
104625000,-2.2662,
107000000,-3.6313,
109375000,-5.2585,
111750000,-6.4304,
114125000,-7.144,
116500000,-7.6715,
118875000,-8.8325,
121250000,-11.04,
123625000,-14.38,
126000000,-18.384,
128375000,-17.597,
130750000,-13.676,
133125000,-10.499,
135500000,-8.4749,
137875000,-7.5002,
140250000,-7.412,
142625000,-8.0017,
145000000,-8.9825,
147375000,-9.9657,
149750000,-10.475,
152125000,-10.039,
154500000,-8.7128,
156875000,-7.1512,
159250000,-6.0789,
161625000,-5.4615,
164000000,-5.1178,
166375000,-5.078,
168750000,-5.4426,
171125000,-6.3237,
173500000,-7.8279,
175875000,-10.064,
178250000,-12.716,
180625000,-14.61,
183000000,-14.263,
185375000,-12.903,
187750000,-11.67,
190125000,-11.076,
192500000,-11.245,
194875000,-12.476,
197250000,-14.823,
199625000,-18.222,
202000000,-18.046,
204375000,-13.485,
206750000,-10.013,
209125000,-7.8137,
211500000,-6.5408,
213875000,-5.6409,
216250000,-5.1721,
218625000,-4.8745,
221000000,-4.7137,
223375000,-4.6984,
225750000,-4.5013,
228125000,-3.7422,
230500000,-2.5405,
232875000,-1.773,
235250000,-1.6842,
237625000,-1.7851,
240000000,-1.9293,
242375000,-2.044,
244750000,-2.0578,
247125000,-2.0136,
249500000,-1.9569,
251875000,-1.9393,
254250000,-1.953,
256625000,-1.9854,
259000000,-2.0464,
261375000,-2.0869,
263750000,-2.2033,
266125000,-2.3173,
268500000,-2.4246,
270875000,-2.5841,
273250000,-2.723,
275625000,-2.9262,
278000000,-3.1998,
280375000,-3.4615,
282750000,-3.791,
285125000,-4.2028,
287500000,-4.5871,
289875000,-5.1374,
292250000,-5.7533,
294625000,-6.4622,
297000000,-7.3811,
299375000,-8.3862,
301750000,-9.4654,
304125000,-10.352,
306500000,-10.657,
308875000,-10.375,
311250000,-9.61,
313625000,-8.734,
316000000,-8.0238,
318375000,-7.4533,
320750000,-6.9618,
323125000,-6.5045,
325500000,-6.0343,
327875000,-5.6185,
330250000,-5.2715,
332625000,-4.928,
335000000,-4.6014,
337375000,-4.2827,
339750000,-3.9438,
342125000,-3.6652,
344500000,-3.4256,
346875000,-3.1916,
349250000,-3.0554,
351625000,-2.9035,
354000000,-2.7758,
356375000,-2.6704,
358750000,-2.5029,
361125000,-2.3954,
363500000,-2.3025,
365875000,-2.2205,
368250000,-2.1773,
370625000,-2.1168,
373000000,-2.0447,
375375000,-2.0252,
377750000,-1.9853,
380125000,-1.9535,
382500000,-1.958,
384875000,-1.8922,
387250000,-1.8912,
389625000,-1.892,
392000000,-1.8712,
394375000,-1.9064,
396750000,-1.8943,
399125000,-1.8662,
401500000,-1.8912,
403875000,-1.8615,
406250000,-1.8613,
408625000,-1.8823,
411000000,-1.8271,
413375000,-1.8564,
415750000,-1.8764,
418125000,-1.8735,
420500000,-1.9217,
422875000,-1.8937,
425250000,-1.8737,
427625000,-1.919,
430000000,-1.9113,
432375000,-1.9388,
434750000,-1.9669,
437125000,-1.9254,
439500000,-1.9825,
441875000,-2.0112,
444250000,-2.0225,
