NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:37:32",
CHAN,MEAS,FORMAT
2,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,dB,
-20000,-108.01,
-18895,-99.544,
-17789,-102.69,
-16684,-106.97,
-15579,-106.71,
-14474,-103.91,
-13368,-104.83,
-12263,-104.94,
-11158,-105.97,
-10053,-104.16,
-8947,-97.776,
-7842,-100.41,
-6737,-94.304,
-5632,-99.559,
-4526,-92.847,
-3421,-96.052,
-2316,-88.056,
-1211,-82.2,
-105,-56.406,
1000,-38.95,
2105,-35.622,
3211,-41.414,
4316,-52.857,
5421,-59.688,
6526,-64.185,
7632,-48.738,
8737,-47.334,
9842,-46.109,
10947,-47.74,
12053,-52.482,
13158,-53.236,
14263,-49.499,
15368,-61.408,
16474,-51.29,
17579,-63.924,
18684,-60.828,
19789,-57.52,
20895,-61.593,
22000,-57.729,
23105,-61.942,
24211,-58.023,
25316,-59.538,
26421,-58.932,
27526,-61.6,
28632,-61.423,
29737,-65.795,
30842,-63.885,
31947,-68.465,
33053,-79.567,
34158,-76.959,
35263,-75.525,
36368,-64.339,
37474,-72.268,
38579,-71.497,
39684,-67.758,
40789,-65.017,
41895,-62.216,
43000,-65.656,
44105,-69.41,
45210,-69.688,
46316,-68.858,
47421,-65.452,
48526,-67.972,
49632,-70.654,
50737,-65.362,
51842,-72.279,
52947,-63.884,
54053,-76.869,
55158,-73.145,
56263,-78.292,
57368,-68.513,
58474,-77.817,
59579,-68.62,
60684,-77.021,
61789,-72.674,
62895,-69.89,
64000,-76.056,
65105,-75.249,
66210,-80.7,
67316,-73.876,
68421,-76.441,
69526,-77.118,
70632,-74.986,
71737,-74.871,
72842,-74.16,
73947,-74.849,
75053,-76.75,
76158,-78.656,
77263,-80.63,
78368,-81.324,
79474,-87.37,
80579,-86.714,
81684,-88.225,
82789,-81.129,
83895,-81.006,
85000,-81.638,
86105,-88.778,
87210,-81.631,
88316,-84.69,
89421,-83.01,
90526,-83.571,
91632,-92.83,
92737,-81.48,
93842,-79.192,
94947,-81.045,
96053,-81.39,
97158,-81.151,
98263,-80.279,
99368,-79.926,
100474,-78.876,
101579,-82.574,
102684,-84.253,
103789,-85.527,
104895,-84.581,
106000,-86.013,
107105,-84.449,
108210,-85.434,
109316,-83.549,
110421,-83.884,
111526,-86.477,
112632,-90.622,
113737,-93.851,
114842,-86.904,
115947,-84.973,
117053,-84.293,
118158,-83.529,
119263,-84.635,
120368,-86.121,
121474,-88.917,
122579,-95.089,
123684,-93.681,
124789,-91.177,
125895,-90.59,
127000,-90.893,
128105,-94.537,
129210,-93.383,
130316,-107.54,
131421,-105.66,
132526,-95.934,
133631,-92.784,
134737,-96.206,
135842,-97.595,
136947,-100.09,
138053,-102.64,
139158,-105.06,
140263,-96.312,
141368,-98.417,
142474,-101.03,
143579,-102.16,
144684,-97.964,
145789,-98.531,
146895,-93.382,
148000,-94.359,
149105,-93.833,
150210,-97.692,
151316,-103.84,
152421,-100.59,
153526,-100.29,
154631,-94.084,
155737,-93.072,
156842,-91.691,
157947,-93.749,
159053,-97.954,
160158,-108.98,
161263,-97.461,
162368,-95.958,
163474,-93.531,
164579,-92.249,
165684,-94.929,
166789,-98.814,
167895,-97.398,
169000,-102.34,
170105,-97.444,
171210,-97.76,
172316,-93.303,
173421,-95.596,
174526,-96.091,
175631,-100.32,
176737,-111.82,
177842,-99.608,
178947,-101.07,
180053,-96.446,
181158,-96.698,
182263,-99.089,
183368,-110.18,
184474,-105.37,
185579,-120.79,
186684,-100.73,
187789,-100.82,
188895,-99.926,
190000,-98.844,
191105,-103.27,
192210,-116.51,
193316,-111.89,
194421,-105.64,
195526,-101.2,
