NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:38:17",
CHAN,MEAS,FORMAT
2,S21,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,deg,
-20000,-8.7362E+1,
-18895,-8.5445E+1,
-17789, 3.6983E+1,
-16684,-2.7061E+1,
-15579, 9.285E+1,
-14474, 6.0867E+1,
-13368, 1.5983E+2,
-12263, 1.7218E+2,
-11158,-9.1498E+1,
-10053,-1.1546E+2,
-8947,-1.9362E+1,
-7842, 3.2368E+0,
-6737, 7.7242E+1,
-5632, 8.6252E+1,
-4526, 1.475E+2,
-3421, 1.6564E+2,
-2316,-1.1829E+2,
-1211,-2.3524E+0,
-105, 4.8502E+1,
1000,-8.6295E+1,
2105, 1.3053E+2,
3211,-4.411E+0,
4316,-1.0141E+2,
5421,-1.1533E+2,
6526, 5.6641E+1,
7632, 4.9397E+0,
8737,-1.3798E+2,
9842, 1.7647E+2,
10947, 2.1927E+1,
12053,-8.2267E+1,
13158, 1.3385E+2,
14263, 6.1403E+1,
15368, 1.4144E+2,
16474,-9.4904E+1,
17579,-1.1405E+2,
18684, 3.3537E+1,
19789,-4.8981E+1,
20895, 7.105E+1,
22000, 1.3096E+2,
23105, 1.3599E+2,
24211,-1.1466E+2,
25316,-9.5882E+1,
26421, 1.715E+1,
27526, 3.0567E+1,
28632, 1.512E+2,
29737, 1.7189E+2,
30842,-2.4413E+1,
31947, 1.5988E+2,
33053,-1.0704E+2,
34158, 1.427E+2,
35263,-1.2821E+2,
36368,-3.942E+1,
37474, 7.1492E+1,
38579, 1.0105E+2,
39684, 2.917E+1,
40789, 1.499E+2,
41895,-1.5414E+2,
43000,-6.5635E+1,
44105,-8.7575E+0,
45210,-7.6616E+0,
46316, 4.7737E+1,
47421, 1.0496E+2,
48526, 1.6175E+2,
49632,-1.3633E+2,
50737,-8.9285E+1,
51842,-9.2409E+1,
52947, 1.5038E+1,
54053, 1.4639E+2,
55158, 8.1863E+1,
56263, 1.9054E+1,
57368, 1.5912E+2,
58474,-1.1859E+2,
59579,-1.0348E+2,
60684,-2.1329E+1,
61789,-1.3968E+1,
62895, 6.1236E+1,
64000, 1.3111E+2,
65105,-1.7916E+2,
66210, 1.5499E+2,
67316,-1.271E+2,
68421,-6.4569E+1,
69526,-1.7194E+1,
70632, 8.4073E+0,
71737, 8.2941E+1,
72842, 1.3067E+2,
73947,-1.4401E+2,
75053,-1.0389E+2,
76158,-3.6568E+1,
77263, 2.4799E+1,
78368, 6.9468E+1,
79474,-1.7643E+2,
80579, 9.5674E+1,
81684, 1.5218E+2,
82789,-1.4995E+2,
83895,-6.7857E+1,
85000,-4.2737E+0,
86105, 4.7352E+1,
87210, 9.8229E+1,
88316, 1.1593E+2,
89421,-1.1937E+2,
90526,-1.5658E+2,
91632,-7.8008E+1,
92737,-5.2357E+1,
93842, 3.0178E+1,
94947, 6.6793E+1,
96053, 1.3932E+2,
97158, 1.7261E+2,
98263,-1.2811E+2,
99368,-8.2325E+1,
100474,-7.9761E+0,
101579, 3.5769E+1,
102684, 9.6747E+1,
103789, 1.3734E+2,
104895, 1.5007E+2,
106000,-1.2571E+2,
107105,-1.1764E+2,
108210,-4.5051E+1,
109316,-1.0188E+1,
110421, 5.8878E+1,
111526, 1.2199E+2,
112632, 1.3952E+2,
113737, 1.7307E+2,
114842,-1.6701E+2,
115947,-1.0196E+2,
117053,-5.353E+1,
118158, 1.4891E+1,
119263, 7.4704E+1,
120368, 1.3214E+2,
121474,-1.6163E+2,
122579,-1.3886E+2,
123684,-1.1949E+2,
124789,-7.0738E+1,
125895,-1.089E+1,
127000, 4.0924E+1,
128105, 1.0655E+2,
129210,-1.7869E+2,
130316, 2.6329E+1,
