NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:42:35",
CHAN,MEAS,FORMAT
1,S11,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,dB,
-20000,-73.12,
-18895,-68.554,
-17789,-72.427,
-16684,-67.574,
-15579,-69.6,
-14474,-66.541,
-13368,-68.592,
-12263,-70.209,
-11158,-67.111,
-10053,-72.734,
-8947,-76.154,
-7842,-69.772,
-6737,-73.567,
-5632,-64.174,
-4526,-62.172,
-3421,-60.542,
-2316,-59.641,
-1211,-25.405,
-105,-8.4873,
1000,-7.5907,
2105,-16.61,
3211,-16.868,
4316,-18.846,
5421,-18.05,
6526,-14.013,
7632,-17.065,
8737,-22.101,
9842,-22.455,
10947,-25.075,
12053,-28.597,
13158,-41.719,
14263,-30.329,
15368,-35.379,
16474,-42.873,
17579,-43.42,
18684,-53.316,
19789,-70.348,
20895,-37.677,
22000,-38.166,
23105,-40.39,
24211,-43.567,
25316,-46.288,
26421,-55.46,
27526,-51.177,
28632,-55.173,
29737,-56.817,
30842,-50.877,
31947,-49.539,
33053,-45.5,
34158,-48.196,
35263,-47.342,
36368,-53.292,
37474,-55.628,
38579,-56.047,
39684,-53.713,
40789,-61.199,
41895,-57.58,
43000,-58.65,
44105,-67.759,
45210,-62.929,
46316,-67.814,
47421,-68.944,
48526,-73.802,
49632,-76.99,
50737,-64.078,
51842,-70.17,
52947,-62.762,
54053,-59.193,
55158,-57.818,
56263,-57.212,
57368,-56.77,
58474,-58.646,
59579,-59.892,
60684,-61.281,
61789,-65.054,
62895,-64.207,
64000,-69.031,
65105,-81.911,
66210,-73.974,
67316,-63.648,
68421,-65.561,
69526,-63.861,
70632,-64.667,
71737,-66.053,
72842,-65.745,
73947,-63.846,
75053,-69.159,
76158,-68.987,
77263,-73.082,
78368,-73.622,
79474,-78.228,
80579,-72.167,
81684,-69.246,
82789,-71.432,
83895,-69.553,
85000,-71.492,
86105,-75.537,
87210,-75.512,
88316,-82.657,
89421,-86.65,
90526,-78.142,
91632,-71.482,
92737,-76.789,
93842,-72.821,
94947,-71.431,
96053,-73.053,
97158,-69.126,
98263,-71.832,
99368,-67.097,
100474,-69.061,
101579,-75.381,
102684,-77.079,
103789,-83.474,
104895,-84.504,
106000,-82.283,
107105,-82.447,
108210,-85.926,
109316,-83.635,
110421,-79.837,
111526,-84.283,
112632,-81.707,
113737,-77.491,
114842,-78.129,
115947,-75.269,
117053,-75.27,
118158,-77.435,
119263,-76.659,
120368,-77.897,
121474,-78.656,
122579,-83.102,
123684,-83.465,
124789,-87.46,
125895,-90.033,
127000,-85.606,
128105,-96.764,
129210,-102.77,
130316,-82.826,
131421,-85.142,
132526,-83.243,
133631,-88.894,
134737,-82.632,
135842,-82.32,
136947,-78.623,
138053,-79.678,
139158,-87.727,
140263,-84.679,
141368,-87.232,
142474,-81.917,
143579,-81.927,
144684,-85.699,
145789,-84.213,
146895,-87.036,
148000,-89.767,
149105,-84.512,
150210,-88.219,
151316,-86.328,
152421,-86.813,
153526,-95.983,
154631,-90.796,
155737,-91.849,
156842,-102.54,
157947,-95.964,
159053,-92.5,
160158,-89.102,
161263,-90.253,
162368,-92.689,
163474,-86.97,
164579,-94.358,
165684,-91.143,
166789,-83.565,
167895,-78.39,
169000,-77.142,
170105,-74.992,
171210,-76.26,
172316,-74.982,
173421,-75.944,
174526,-84.981,
175631,-77.813,
176737,-75.472,
177842,-70.819,
178947,-73.461,
180053,-79.003,
181158,-73.234,
182263,-71.275,
183368,-71.277,
184474,-69.738,
185579,-75.419,
186684,-80.874,
187789,-85.877,
188895,-82.834,
190000,-79.973,
191105,-85.577,
192210,-80.381,
193316,-82.314,
194421,-86.685,
195526,-90.982,
