NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"28 Mar 2014 ","09:55:13",
CHAN,MEAS,FORMAT
3,S12,PHASE
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,
pS,deg,
-20000,-1.1003E+2,
-18895,-5.9418E+1,
-17789,-7.7344E+0,
-16684,-4.4551E+1,
-15579, 8.9489E+1,
-14474, 8.27E+1,
-13368, 1.7682E+2,
-12263,-1.3314E+2,
-11158,-9.7751E+1,
-10053,-8.7153E+1,
-8947,-1.6469E+1,
-7842, 4.7259E+1,
-6737, 7.5591E+1,
-5632, 8.1429E+1,
-4526, 1.4641E+2,
-3421, 1.6576E+2,
-2316,-1.1711E+2,
-1211, 9.3246E-1,
-105, 4.7097E+1,
1000,-8.7069E+1,
2105, 1.2963E+2,
3211,-6.059E+0,
4316,-1.0322E+2,
5421,-1.0497E+2,
6526, 8.73E+1,
7632, 5.7088E+0,
8737,-1.3483E+2,
9842, 1.7032E+2,
10947, 2.0031E+1,
12053,-9.0599E+1,
13158, 1.309E+2,
14263, 6.1116E+1,
15368, 1.3761E+2,
16474,-9.0284E+1,
17579,-1.5848E+2,
18684, 4.2284E+1,
19789,-7.9692E+1,
20895, 7.496E+1,
22000, 1.2371E+2,
23105, 1.1209E+2,
24211,-1.3954E+2,
25316,-1.477E+2,
26421,-2.7717E+1,
27526, 1.3383E+1,
28632, 1.1892E+2,
29737, 1.5597E+2,
30842,-5.9886E+1,
31947,-1.3548E+2,
33053, 4.1123E+1,
34158, 7.9406E+1,
35263,-2.606E+1,
36368,-6.9909E+1,
37474, 1.6576E+2,
38579,-1.2053E+1,
39684, 1.0822E+2,
40789, 1.346E+2,
41895,-1.0686E+2,
43000, 3.532E+1,
44105,-5.2548E+1,
45210, 1.4246E+2,
46316, 7.2767E+1,
47421,-9.2888E+1,
48526,-1.5132E+2,
49632, 6.362E+1,
50737,-1.1319E+2,
51842, 1.5441E+2,
52947,-5.132E+1,
54053,-6.9329E+1,
55158, 4.4392E+1,
56263, 1.4114E+2,
57368,-1.5337E+2,
58474,-2.1929E+1,
59579, 1.728E+2,
60684, 5.2115E+1,
61789, 1.7769E+2,
62895,-2.7506E+1,
64000,-7.5449E+1,
65105, 7.3427E+1,
66210,-1.4704E+2,
67316,-1.6671E+2,
68421,-1.1577E+1,
69526, 1.5531E+2,
70632,-8.3883E+1,
71737,-4.738E+1,
72842, 6.2674E+1,
73947, 1.678E+2,
75053, 1.6076E+2,
76158,-1.2337E+2,
77263,-8.0145E+1,
78368, 1.1939E+1,
79474,-1.4833E+2,
80579,-2.8284E+1,
81684, 5.6229E+1,
82789, 1.2609E+2,
83895,-1.698E+2,
85000,-8.3503E+1,
86105,-7.1815E+1,
87210, 4.5019E+1,
88316, 4.8676E+1,
89421,-1.5289E+1,
90526,-1.6214E+2,
91632, 1.2405E+2,
92737, 1.2016E+1,
93842,-9.7788E+1,
94947,-1.1414E+2,
96053,-8.1821E+0,
97158, 2.8025E+1,
98263, 9.2833E+1,
99368, 8.8753E+1,
100474, 1.1402E+2,
101579,-1.5579E+2,
102684,-1.1145E+2,
103789,-2.6289E+1,
104895,-2.9033E+1,
106000, 2.6025E+1,
107105, 8.4391E+1,
108210, 1.2195E+2,
109316,-1.1785E+2,
110421, 1.737E+2,
111526,-1.4616E+2,
112632,-8.9952E+1,
113737,-2.5542E+1,
114842, 2.0906E+1,
115947, 6.0084E+1,
117053, 1.1429E+2,
118158, 1.3757E+2,
119263, 1.6449E+2,
120368,-1.2463E+2,
121474,-8.7251E+1,
122579,-3.5619E+1,
123684, 1.6209E+1,
124789, 6.171E+1,
125895, 9.8663E+1,
127000, 1.2368E+2,
128105,-1.6418E+2,
129210,-1.3804E+2,
130316,-5.4724E+1,
